Time,Source,Destination,Protocol,Length
1775492785.6236305,192.168.31.42,140.82.114.21,6,54
1775492785.6358778,192.168.31.42,140.82.114.21,6,54
1775492785.6388788,192.168.31.42,140.82.114.21,6,78
1775492785.6408799,192.168.31.42,140.82.114.21,6,78
1775492785.6458821,192.168.31.42,140.82.114.21,6,54
1775492785.6478782,192.168.31.42,140.82.114.21,6,54
1775492785.9211047,140.82.114.21,192.168.31.42,6,54
1775492785.9211047,140.82.114.21,192.168.31.42,6,54
1775492785.9211047,140.82.114.21,192.168.31.42,6,54
1775492785.9377372,140.82.114.21,192.168.31.42,6,54
1775492785.9377372,140.82.114.21,192.168.31.42,6,54
1775492785.9377372,140.82.114.21,192.168.31.42,6,54
1775492785.9377372,140.82.114.21,192.168.31.42,6,54
1775492785.9377372,140.82.114.21,192.168.31.42,6,54
1775492785.9377372,140.82.114.21,192.168.31.42,6,54
1775492786.2043133,192.168.31.42,20.189.173.25,6,167
1775492786.2043133,192.168.31.42,20.189.173.25,6,167
1775492786.2043133,192.168.31.42,20.189.173.25,6,1336
1775492786.219146,192.168.31.42,20.189.173.25,6,1336
1775492786.2201424,192.168.31.42,20.189.173.25,6,1336
1775492786.224839,192.168.31.42,20.189.173.25,6,1336
1775492786.230842,192.168.31.42,20.189.173.25,6,1336
1775492786.230842,192.168.31.42,20.189.173.25,6,1336
1775492786.2378433,192.168.31.42,20.189.173.25,6,1336
1775492786.2387826,192.168.31.42,20.189.173.25,6,1336
1775492786.2387826,192.168.31.42,20.189.173.25,6,1336
1775492786.2387826,192.168.31.42,20.189.173.25,6,1336
1775492786.2387826,192.168.31.42,20.189.173.25,6,1336
1775492786.2562652,192.168.31.42,20.189.173.25,6,1336
1775492786.2546053,192.168.31.42,20.189.173.25,6,1336
1775492786.2562652,192.168.31.42,20.189.173.25,6,1336
1775492786.2562652,192.168.31.42,20.189.173.25,6,1336
1775492786.2562652,192.168.31.42,20.189.173.25,6,1336
1775492786.2562652,192.168.31.42,20.189.173.25,6,1336
1775492786.2715964,192.168.31.42,20.189.173.25,6,1336
1775492786.2715964,192.168.31.42,20.189.173.25,6,1336
1775492786.2715964,192.168.31.42,20.189.173.25,6,1336
1775492786.2715964,192.168.31.42,20.189.173.25,6,1336
1775492786.2715964,192.168.31.42,20.189.173.25,6,1336
1775492786.2715964,192.168.31.42,20.189.173.25,6,1336
1775492786.2846987,192.168.31.42,20.189.173.25,6,1076
1775492786.2900403,192.168.31.42,20.189.173.25,6,474
1775492786.2900403,192.168.31.42,20.189.173.25,6,1076
1775492786.2900403,192.168.31.42,20.189.173.25,6,474
1775492786.440548,20.189.173.25,192.168.31.42,6,54
1775492786.440548,20.189.173.25,192.168.31.42,6,54
1775492786.4567866,20.189.173.25,192.168.31.42,6,54
1775492786.4567866,20.189.173.25,192.168.31.42,6,54
1775492786.4567866,20.189.173.25,192.168.31.42,6,54
1775492786.4705064,20.189.173.25,192.168.31.42,6,54
1775492786.4735076,20.189.173.25,192.168.31.42,6,66
1775492786.4785054,20.189.173.25,192.168.31.42,6,54
1775492786.4835029,20.189.173.25,192.168.31.42,6,149
1775492786.4805064,20.189.173.25,192.168.31.42,6,66
1775492786.4945092,20.189.173.25,192.168.31.42,6,54
1775492786.5077717,192.168.31.42,20.189.173.25,6,54
1775492786.5037727,20.189.173.25,192.168.31.42,6,149
1775492786.5188224,192.168.31.42,20.189.173.25,6,54
1775492786.6253452,192.168.31.1,224.0.0.1,2,50
1775492786.6243427,192.168.31.1,224.0.0.1,2,50
1775492787.1041856,192.168.31.42,224.0.0.22,2,70
1775492787.1041856,192.168.31.42,224.0.0.22,2,70
1775492788.1020336,192.168.31.42,224.0.0.22,2,54
1775492788.2585495,192.168.31.124,255.255.255.255,17,262
1775492788.2585495,192.168.31.124,255.255.255.255,17,262
1775492788.5533113,192.168.31.42,20.189.173.25,6,167
1775492788.5533113,192.168.31.42,20.189.173.25,6,167
1775492788.5583117,192.168.31.42,20.189.173.25,6,1336
1775492788.5583117,192.168.31.42,20.189.173.25,6,1336
1775492788.5623138,192.168.31.42,20.189.173.25,6,1336
1775492788.5633116,192.168.31.42,20.189.173.25,6,1336
1775492788.5676284,192.168.31.42,20.189.173.25,6,1336
1775492788.5696313,192.168.31.42,20.189.173.25,6,1336
1775492788.5728445,192.168.31.42,20.189.173.25,6,1336
1775492788.5748472,192.168.31.42,20.189.173.25,6,1336
1775492788.5788465,192.168.31.42,20.189.173.25,6,1336
1775492788.5838492,192.168.31.42,20.189.173.25,6,1336
1775492788.5828462,192.168.31.42,20.189.173.25,6,1336
1775492788.588861,192.168.31.42,20.189.173.25,6,1336
1775492788.593865,192.168.31.42,20.189.173.25,6,1336
1775492788.597781,192.168.31.42,20.189.173.25,6,1336
1775492788.5987775,192.168.31.42,20.189.173.25,6,1336
1775492788.601976,192.168.31.42,20.189.173.25,6,1336
1775492788.6039786,192.168.31.42,20.189.173.25,6,521
1775492788.6059756,192.168.31.42,20.189.173.25,6,521
1775492788.7867885,20.189.173.25,192.168.31.42,6,54
1775492788.7867885,20.189.173.25,192.168.31.42,6,54
1775492788.8040922,20.189.173.25,192.168.31.42,6,54
1775492788.8085122,20.189.173.25,192.168.31.42,6,54
1775492788.8085122,20.189.173.25,192.168.31.42,6,54
1775492788.8085122,20.189.173.25,192.168.31.42,6,54
1775492788.8085122,20.189.173.25,192.168.31.42,6,54
1775492788.8183842,20.189.173.25,192.168.31.42,6,54
1775492788.8193746,20.189.173.25,192.168.31.42,6,54
1775492788.8233714,20.189.173.25,192.168.31.42,6,89
1775492788.851777,192.168.31.42,20.189.173.25,6,54
1775492788.851777,192.168.31.42,20.189.173.25,6,54
1775492789.0907803,20.189.173.25,192.168.31.42,6,154
1775492789.0907803,20.189.173.25,192.168.31.42,6,154
1775492789.0907803,192.168.31.42,20.189.173.25,6,89
1775492789.1026897,192.168.31.42,20.189.173.25,6,89
1775492789.3732052,20.189.173.25,192.168.31.42,6,54
1775492789.3732052,20.189.173.25,192.168.31.42,6,54
1775492790.8015497,192.168.31.42,20.189.173.25,6,167
1775492790.8015497,192.168.31.42,20.189.173.25,6,167
1775492790.8055494,192.168.31.42,20.189.173.25,6,1336
1775492790.8065476,192.168.31.42,20.189.173.25,6,1336
1775492790.8105495,192.168.31.42,20.189.173.25,6,1336
1775492790.8148992,192.168.31.42,20.189.173.25,6,1336
1775492790.8138971,192.168.31.42,20.189.173.25,6,1336
1775492790.8212092,192.168.31.42,20.189.173.25,6,1336
1775492790.8222096,192.168.31.42,20.189.173.25,6,1336
1775492790.8252113,192.168.31.42,20.189.173.25,6,1336
1775492790.829209,192.168.31.42,20.189.173.25,6,1336
1775492790.8312125,192.168.31.42,20.189.173.25,6,1336
1775492790.8374667,192.168.31.42,20.189.173.25,6,1336
1775492790.8374667,192.168.31.42,20.189.173.25,6,1336
1775492790.8414648,192.168.31.42,20.189.173.25,6,690
1775492790.8414648,192.168.31.42,20.189.173.25,6,1336
1775492790.847466,192.168.31.42,20.189.173.25,6,1336
1775492790.853931,192.168.31.42,20.189.173.25,6,690
1775492791.0396583,20.189.173.25,192.168.31.42,6,54
1775492791.0406625,20.189.173.25,192.168.31.42,6,54
1775492791.044662,20.189.173.25,192.168.31.42,6,66
1775492791.044662,20.189.173.25,192.168.31.42,6,66
1775492791.0486698,20.189.173.25,192.168.31.42,6,66
1775492791.0486698,20.189.173.25,192.168.31.42,6,66
1775492791.0546625,20.189.173.25,192.168.31.42,6,66
1775492791.0588508,20.189.173.25,192.168.31.42,6,66
1775492791.0608523,20.189.173.25,192.168.31.42,6,54
1775492791.0628529,20.189.173.25,192.168.31.42,6,54
1775492791.0648518,20.189.173.25,192.168.31.42,6,66
1775492791.065851,20.189.173.25,192.168.31.42,6,66
1775492791.0688484,20.189.173.25,192.168.31.42,6,66
1775492791.0698514,20.189.173.25,192.168.31.42,6,66
1775492791.0738537,20.189.173.25,192.168.31.42,6,150
1775492791.0738537,20.189.173.25,192.168.31.42,6,150
1775492791.1041331,192.168.31.42,20.189.173.25,6,54
1775492791.1041331,192.168.31.42,20.189.173.25,6,54
1775492791.8187103,192.168.31.42,148.113.9.41,6,55
1775492791.8187103,192.168.31.42,148.113.9.41,6,55
1775492791.875963,148.113.9.41,192.168.31.42,6,66
1775492792.5508149,192.168.31.1,224.0.0.1,2,50
1775492792.5508149,192.168.31.1,224.0.0.1,2,50
1775492792.6019466,192.168.31.42,224.0.0.22,2,62
1775492792.6019466,192.168.31.42,224.0.0.22,2,62
1775492792.9361327,192.168.31.42,20.189.173.25,6,167
1775492792.9371367,192.168.31.42,20.189.173.25,6,167
1775492792.940618,192.168.31.42,20.189.173.25,6,1336
1775492792.940618,192.168.31.42,20.189.173.25,6,1336
1775492792.943158,192.168.31.42,20.189.173.25,6,1336
1775492792.943158,192.168.31.42,20.189.173.25,6,1336
1775492792.9518063,192.168.31.42,20.189.173.25,6,1336
1775492792.955806,192.168.31.42,20.189.173.25,6,1336
1775492792.955806,192.168.31.42,20.189.173.25,6,1336
1775492792.958804,192.168.31.42,20.189.173.25,6,1336
1775492792.960807,192.168.31.42,20.189.173.25,6,1336
1775492792.9628034,192.168.31.42,20.189.173.25,6,1336
1775492792.966787,192.168.31.42,20.189.173.25,6,1336
1775492792.9687948,192.168.31.42,20.189.173.25,6,1336
1775492792.9733167,192.168.31.42,20.189.173.25,6,1336
